Playa de Las Catedrales,Lugo,27794,1,4
Playa de Bolonia,Cádiz,11391,1,5
Playa de Rodas,Pontevedra,36945,1,5
Playa de Muro,Illes Balears,07458,1,4
Playa de Cofete,Las Palmas,35629,1,5
Playa de Zahara de los Atunes,Cádiz,11393,1,4
Playa de Los Genoveses,Almería,04118,1,4
Playa de la Barrosa,Cádiz,11139,1,5
Playa de la Malagueta,Málaga,29016,1,4
Playa de Maspalomas,Las Palmas,35100,1,5
Playa de la Victoria,Cádiz,11010,1,5
Playa de la Lanzada,Pontevedra,36990,1,4
Playa de Es Trenc,Illes Balears,07639,1,5
Playa de la Cala del Moral,Málaga,29720,1,4
Playa del Silencio,Asturias,33157,1,5
Playa de Torimbia,Asturias,33596,1,5
Playa de Itzurun,Gipuzkoa,20750,1,4
Playa de Valdevaqueros,Cádiz,11380,1,5
Playa de El Palmar,Cádiz,11159,1,5
